이상치_주소,결측치_상권
서울특별시 성동구 행당로1길 7,행당
서울특별시 성동구 행당로1길 14-1,행당
서울특별시 성동구 독서당로60길 2,옥수
서울특별시 성동구 무학로 22,행당
서울특별시 성동구 마장로39길 36,마장동
서울 성동구 무학로 10.,행당
서울 성동구 독서당로51길 23-1.,신금호
서울특별시 성동구 마장로39가길 32,마장동
서울 성동구 난계로 101-1.,행당
서울 성동구 송정12길 15.,장한평자동차
서울 성동구 아차산로17길 14-1.,성수
서울 성동구 고산자로2길 6-3.,왕십리
서울특별시 성동구 동일로 173,건대입구
서울 성동구 고산자로8길 23-1,왕십리
서울특별시 성동구 동일로 221,성수
서울특별시 성동구 연무장19길 18,성수
서울 성동구 광나루로8길 11.,성수
서울특별시 성동구 독서당로60길 6-1,옥수
서울특별시 성동구 왕십리로31길 4,왕십리
서울 성동구 동일로 261-1.,성수
서울특별시 성동구 송정14길 14-1,장한평자동차
서울특별시 성동구 독서당로60가길 20,옥수
서울 성동구 마장로23길 4 .,마장동
서울특별시 성동구 마조로18길 12,왕십리
서울 성동구 독서당로60길 5.,옥수
서울특별시 성동구 고산자로8길 24,왕십리
서울특별시 성동구 독서당로59다길 8,옥수
서울 성동구 마장로39가길 23,마장동
서울 성동구 독서당로60길 10.,옥수
서울 성동구 마조로18길 21.,왕십리
서울 성동구 동일로 75-33,성수
서울특별시 성동구 동일로 257-1,답십리
서울특별시 성동구 마조로15길 19,왕십리
서울특별시 성동구 광나루로11길 17-1,성수
서울특별시 성동구 성수일로1길 8,뚝섬
서울 성동구 동호로5길 131 .,금호
서울 성동구 청계천로 426.,동대문역사문화공원역
서울특별시 성동구 아차산로15길 19,성수
서울특별시 성동구 동일로 75-18,성수
서울 성동구 사근동11길 3.,한양대
서울특별시 성동구 왕십리로31길 8,왕십리
서울특별시 성동구 무학로 16-1,행당
서울특별시 성동구 뚝섬로15길 31,뚝섬
서울특별시 성동구 성수이로22길 31,성수
서울 성동구 무학로 33.,왕십리
서울특별시 성동구 아차산로13길 31,성수
서울특별시 성동구 청계천로 494,답십리
서울특별시 성동구 독서당로51길 15,신금호
서울 성동구 자동차시장길 49.,장한평자동차
서울 성동구 아차산로13길 33.,성수
서울 성동구 아차산로15길 10.,성수
서울특별시 성동구 동일로43길 1,성수
서울특별시 성동구 아차산로17길 57,성수
서울특별시 성동구 성수이로22길 61,성수
서울 성동구 아차산로17길 48.,성수
서울 성동구 성수이로22길 31,뚝섬
서울특별시 성동구 아차산로17길 49,성수
서울특별시 성동구 청계천로 474,동대문역사문화공원역
서울 성동구 광나루로8길 12.,성수
서울특별시 성동구 광나루로11길 50,성수
서울특별시 성동구 송정길 82-3,장한평자동차
서울 성동구 왕십리로31나길 33.,왕십리
서울 성동구 아차산로17길 49.,성수
서울특별시 성동구 고산자로2길 4-1,왕십리
서울특별시 성동구 독서당로51길 29-1,신금호
서울특별시 성동구 아차산로13길 48,성수
서울특별시 성동구 송정12길 14,장한평자동차
서울 성동구 고산자로2길 14,왕십리
서울특별시 성동구 뚝섬로15길 27,뚝섬
서울특별시 성동구 연무장17길 6,성수
서울특별시 성동구 고산자로2길 4,왕십리
서울특별시 성동구 고산자로2길 67,왕십리
서울특별시 성동구 행당로1길 21-10,행당
서울특별시 성동구 청계천로 484,동대문역사문화공원역
서울 성동구 동일로 83,성수
서울  성동구  독서당로60길  5,옥수
서울특별시 성동구 독서당로57길 48,옥수
서울 성동구 난계로 32.,신금호
서울특별시 성동구 행당로5길 2,행당
서울특별시 성동구 난계로 61,신금호
서울특별시 성동구 난계로 101-1,행당
서울특별시 성동구 송정길 22,장한평자동차
서울특별시 성동구 광나루로8길 10,성수
서울특별시 성동구 사근동11길 7,한양대
서울특별시 성동구 독서당로51길 34-1,금남시장
서울특별시 성동구 고산자로2길 10-7,왕십리
서울특별시 성동구 무학로 8-1,행당
서울 성동구 무학로 33,왕십리
서울 성동구 고산자로6가길 44,한양대
서울 성동구 광나루로11길 39,성수
서울특별시 성동구 고산자로2길 65,왕십리
서울특별시 성동구 연무장19길 12,성수
서울특별시 성동구 송정길 40,장한평자동차
서울 성동구 난계로 35.,신금호
서울특별시 성동구 광나루로11길 52,성수
서울특별시 성동구 마조로16길 23,왕십리
서울 성동구 동일로 143 .,성수
서울특별시 성동구 둘레1길 2,뚝섬
서울특별시 성동구 마장로44길 8-18,마장동
서울특별시 성동구 둘레1길 12,뚝섬
서울특별시 성동구 무학로 8-3,행당
서울 성동구 동일로 123 .,성수
서울특별시 성동구 동일로 135-1,성수
서울특별시 성동구 마장로23길 7,마장동
서울특별시 성동구 독서당로51길 34,금남시장
서울 강남구 선릉로 711.,
서울 성동구 아차산로17길 26.,성수
서울 성동구 광나루로11길 10.,성수
서울특별시 성동구 고산자로8길 20,왕십리
서울특별시 성동구 광나루로11길 32,성수
서울특별시 성동구 마조로15가길 23,왕십리
서울 성동구 청계천로 494.,동대문역사문화공원역
서울특별시 성동구 마장로46길 18,마장동
서울특별시 성동구 무학로12길 2,행당
서울 성동구 동일로 265.,성수
서울특별시 성동구 고산자로2길 10-4,왕십리
서울특별시 성동구 동일로 133,성수
서울특별시 성동구 고산자로8길 27,왕십리
서울 성동구 무학로 20-1.,행당
서울특별시 성동구 아차산로13길 23-1,성수
서울 성동구 고산자로2길 65.,왕십리
서울특별시 성동구 광나루로11길 41,성수
서울특별시 성동구 자동차시장길 42,장한평자동차
서울 성동구 광나루로11길 14-1.,성수
서울 성동구 아차산로13길 6,성수
서울특별시 성동구 광나루로11길 22-1,성수
서울특별시 성동구 왕십리로31길 16,왕십리
서울 성동구 성수이로16길 25,뚝섬
서울 성동구 광나루로11길 19,성수
서울 성동구 마장로42길 14.,마장동
서울특별시 성동구 동일로 41,성수
서울특별시 성동구 왕십리로31나길 21,왕십리
서울 성동구 고산자로2길 4.,왕십리
서울특별시 성동구 마조로15길 2,왕십리
서울특별시 성동구 무학로 12-1,행당
서울특별시 성동구 난계로 81,신금호
서울특별시 성동구 독서당로59다길 34,옥수
서울 성동구 마장로39길 24.,마장동
서울특별시 성동구 마장로39길 51,마장동
서울  성동구  행당로3길  18,행당
서울특별시 성동구 자동차시장길 49,장한평자동차
서울특별시 성동구 동일로57길 9,뚝섬
서울특별시 성동구 광나루로11길 47,성수
서울 성동구 무학로 36.,행당
서울 성동구 광나루로11길 37.,성수
서울 성동구 연무장17길 6,성수
서울특별시 성동구 독서당로60길 4,옥수
서울 성동구 무학로12길 13,행당
서울특별시 성동구 성수이로26길 61,성수
서울특별시 성동구 광나루로11길 15,성수
서울 성동구 마장로39길 34,마장동
서울  성동구  무학로,행당
서울 성동구 고산자로2길 6-6,왕십리
서울 성동구 무학로 42,행당
서울특별시 성동구 난계로 32,신금호
서울 성동구 고산자로8길 18,왕십리
서울특별시 성동구 광나루로11길 5,성수
서울특별시 성동구 난계로 35,신금호
서울특별시 성동구 장터2길 11,신금호
서울 성동구 광나루로6길 49.,성수
서울특별시 성동구 송정12길 13,장한평자동차
서울 성동구 고산자로8길 26.,왕십리
서울 성동구 고산자로6가길 36,한양대
서울 성동구 왕십리로31가길 31.,왕십리
서울특별시 성동구 독서당로62길 4,행당
서울특별시 성동구 독서당로59나길 36,옥수
서울 성동구 광나루로11길 3,성수
서울특별시 성동구 난계로 114-31,신금호
서울특별시 성동구 광나루로11길 4,성수
서울 성동구 행당로1길 21-6.,행당
서울특별시 성동구 동일로 135,성수
서울 성동구 독서당로62길 4.,옥수
서울특별시 성동구 무학로 20-5,행당
서울 성동구 왕십리로31나길 24.,왕십리
서울특별시 성동구 마조로15가길 27,왕십리
서울 성동구 광나루로9길 3,성수
서울특별시 성동구 광나루로11길 13-1,성수
서울 성동구 고산자로2길 4-1.,왕십리
서울 성동구 독서당로51길 31.,금남시장
서울 성동구 난계로 97.,신금호
서울 성동구 마장로42길 2,마장동
서울 성동구 무학로 8,행당
서울 성동구 마장로39나길 17-1,마장동
서울특별시 성동구 살곶이2가길 27-19,한양대
서울특별시 성동구 마장로40길 11-1,마장동
서울특별시 성동구 송정길 80-3,장한평자동차
서울특별시 성동구 마조로16길 3-6,왕십리
서울특별시 성동구 독서당로59다길 21,옥수
서울특별시 성동구 독서당로51길 29,금남시장
서울특별시 성동구 광나루로11길 14,성수
서울특별시 성동구 살곶이2길 1,한양대
서울특별시 성동구 독서당로51길 22-1,금남시장
서울특별시 성동구 사근동11길 3,한양대
서울특별시 성동구 송정12라길 27,장한평자동차
서울 성동구 마장로40길 10.,마장동
서울특별시 성동구 마조로19길 21,왕십리
서울특별시 성동구 송정4길 10,장한평자동차
서울특별시 성동구 광나루로11길 45,성수
서울 성동구 마조로19길 7,왕십리
서울특별시 성동구 마조로19길 7,왕십리
서울특별시 성동구 송정6길 8,장한평자동차
서울특별시 성동구 광나루로11길 12,성수
서울특별시 성동구 성덕정21길 6,성수
서울특별시 성동구 동일로 279,성수
서울특별시 성동구 마장로39가길 40,마장동
서울특별시 성동구 광나루로11길 30,성수
서울특별시 성동구 동일로55길 3,성수
